Story Title (Hindi),Complete Story Text (Hindi)
नवरात्रि की उत्पत्ति,"नवरात्रि की कथा केवल एक युद्ध की नहीं — यह नौ रातों की आंतरिक यात्रा है। जब देवताओं ने देवी से प्रार्थना की, तो उन्होंने वरदान दिया: ""मैं हर वर्ष नौ रातों के लिए पृथ्वी पर उतरूँगी। जो भक्त इन नौ रातों में मेरी आराधना करेगा — मैं उसके जीवन के हर अंधकार को भस्म करूँगी।""

नवरात्रि वर्ष में दो बार आती है — चैत्र और आश्विन में। दोनों ऋतु-संधि के समय — जब प्रकृति बदलती है, जब वातावरण में परिवर्तन होता है। देवी का आगमन उसी समय होता है जब हमारा शरीर और मन भी परिवर्तन के लिए सबसे अधिक तैयार होते हैं। यह संयोग नहीं — यह ज्ञान है।

नौ रातें — नौ स्वरूप। प्रत्येक रूप एक गुण का प्रतीक है जो भक्त में जागृत होना चाहिए। शैलपुत्री: पर्वत-जैसी स्थिरता। ब्रह्मचारिणी: तपस्या और साधना। चंद्रघंटा: शांति के भीतर शक्ति। कूष्मांडा: सृजन की ऊर्जा। स्कंदमाता: पोषण और प्रेम। कात्यायनी: साहस। कालरात्रि: अंधकार का सामना। महागौरी: शुद्धता। सिद्धिदात्री: पूर्णता।

नवरात्रि में उपवास क्यों? देवी ने स्वयं कहा: ""जो नौ दिन अपने शरीर और मन को शुद्ध करे — जो इन्द्रियों को संयमित करे — उसके भीतर मेरी शक्ति प्रवेश करती है।"" उपवास केवल भोजन न करना नहीं — यह अनावश्यक विचारों, शब्दों, और आदतों का भी उपवास है। शरीर हल्का होता है, मन खुलता है।

गरबा और डांडिया — नवरात्रि का नृत्य। यह केवल उत्सव नहीं — यह देवी की परिक्रमा है। वृत्ताकार नृत्य सृष्टि के चक्र का प्रतीक है — जन्म, जीवन, मृत्यु। केंद्र में दीप — देवी का प्रतीक। और भक्त उसके चारों ओर घूमते हैं। हर डांडिया की ठोक — एक मंत्र। हर कदम — एक प्रार्थना।

नवरात्रि के अंत में — विजयादशमी — वह दिन जब राम ने रावण को हराया, जब दुर्गा ने महिषासुर को हराया। दो विजयों का एक दिन। परम्परा है — इस दिन कोई नया कार्य आरंभ करें। क्योंकि नौ दिनों की साधना के बाद जो शक्ति मिली है — वह नए आरंभ के लिए सबसे शुभ है। नवरात्रि समाप्त नहीं होती — वह एक नई शुरुआत में बदल जाती है।"
राम का जन्म,"अयोध्या — सरयू नदी के तट पर बसी, स्वर्ग से भी सुंदर नगरी। राजा दशरथ उसके प्रतापी राजा थे — सत्यवादी, वीर, न्यायप्रिय। पर उनके हृदय में एक गहरा दुख था जो उन्हें रात को सोने नहीं देता था। उनकी तीन रानियाँ थीं — कौसल्या, कैकेयी, सुमित्रा — पर कोई पुत्र नहीं था। राज्य बिना उत्तराधिकारी के था।

ऋषि वशिष्ठ ने दशरथ को पुत्रकामेष्टि यज्ञ का सुझाव दिया — पुत्र प्राप्ति के लिए एक महायज्ञ। श्रृंग ऋषि के नेतृत्व में यज्ञ आरंभ हुआ। दिनों तक मंत्रोच्चार गूंजते रहे। अग्नि की लपटें आकाश को छूने लगीं। तब एक अद्भुत घटना हुई — यज्ञकुण्ड से एक दिव्य पुरुष प्रकट हुआ, सोने का पात्र लेकर।

दिव्य पुरुष ने दशरथ को पायसम दिया: ""इसे अपनी रानियों में बाँटो। विष्णु स्वयं तुम्हारे पुत्र बनने आ रहे हैं।"" दशरथ के हाथ काँप रहे थे। उन्होंने कौसल्या को आधा, कैकेयी को आधे का आधा, और शेष सुमित्रा को दिया। और चैत्र शुक्ल नवमी के दिन — अयोध्या में एक साथ चार बच्चे जन्मे।

ज्येष्ठ पुत्र का नाम रखा गया — राम। ऋषि वशिष्ठ ने नाम दिया। ""र"" — अग्नि बीज, तेज का प्रतीक। ""म"" — चंद्र बीज, शांति का प्रतीक। राम — जिसके नाम में संसार की समस्त ऊर्जा समाहित है। कैकेयी के पुत्र भरत, सुमित्रा के लक्ष्मण और शत्रुघ्न — चारों भाइयों में प्रेम इतना गहरा था कि लोग कहते थे — ये चार शरीर हैं, आत्मा एक है।

बालराम की एक झलक उनके असाधारण स्वभाव की थी। वे कभी क्रोध में नहीं आते थे। जो भी उनसे मिलता — लौटते हुए कुछ हल्का महसूस करता। गुरु विश्वामित्र जब उन्हें देखने आए, तो दशरथ ने हाथ जोड़े: ""यह मेरी प्राण वायु है।"" विश्वामित्र बोले: ""इन्हें मेरे साथ जाने दो — संसार को इनकी आवश्यकता है।""

राम का जन्म केवल एक राजकुमार का जन्म नहीं था — यह धर्म का धरती पर अवतरण था। जब भी पृथ्वी पर अधर्म का बोझ असह्य हो जाता है, विष्णु किसी रूप में आते हैं। राम के रूप में उन्होंने सबसे कठिन अवतार लिया — एक मनुष्य का। सीमाओं के साथ जीना, कष्ट सहना, धर्म का पालन करना — और फिर भी कभी न टूटना। इसीलिए वे ""मर्यादा पुरुषोत्तम"" हैं।"
सीता स्वयंवर,"मिथिला के राजा जनक के दरबार में एक अद्भुत स्वयंवर का आयोजन था। शर्त एक थी — जो शिव जी के महान धनुष पिनाक को उठाकर उस पर प्रत्यंचा चढ़ा सके, उसी से सीता का विवाह होगा। सैकड़ों राजा आए थे — महाबली, अहंकारी, शक्तिशाली। एक के बाद एक उन्होंने प्रयास किया। धनुष हिला तक नहीं।

सीता — जनक की पुत्री, धरती माता की अंश — प्रतिदिन उस धनुष को फूल चढ़ाने जाती थीं। एक दिन उन्होंने उसे खेल-खेल में उठा लिया था — बचपन में। पर जनक जानते थे कि यह साधारण बात नहीं थी। जो धनुष उठा सके, वही सीता का सच्चा जोड़ीदार होगा। सीता की आँखें हर आने वाले राजा पर पड़तीं — और लौट जातीं। कुछ कमी थी। कोई नहीं था।

तब विश्वामित्र ने राम को आदेश दिया — ""उठो, राम।"" राम उठे। उनके मुख पर कोई उत्तेजना नहीं थी, कोई अहंकार नहीं। वे धनुष के पास गए जैसे कोई पुराने मित्र से मिलने जाता है। सीता ने पहली बार उन्हें देखा — और कुछ उनके हृदय में ठहर गया। राम ने एक हाथ से धनुष उठाया।

राम ने धनुष पर प्रत्यंचा चढ़ाई — और वह टूट गया। ऐसे जैसे सूखी लकड़ी टूटती है। उसकी गड़गड़ाहट से धरती काँपी, महल हिला, राजा गिर पड़े। पर राम अविचल खड़े रहे। और सीता — वे उठीं, वरमाला लेकर, और राम के पास आईं। उनकी आँखों में न संकोच था, न भय। केवल पहचान थी — जैसे किसी पुरानी स्मृति का अचानक साकार होना।

परशुराम का क्रोध भी आया — ""किसने शिव का धनुष तोड़ा?"" उनके नेत्र अग्नि से भरे थे। राम ने शांत भाव से उत्तर दिया। परशुराम ने विष्णु का धनुष उठाने को कहा — परीक्षा के रूप में। राम ने उसे भी उठाया, उस पर बाण चढ़ाया। परशुराम के सामने सत्य प्रकट हुआ — यह साधारण राजकुमार नहीं, स्वयं विष्णु हैं। वे नतमस्तक हो गए।

राम और सीता का विवाह हुआ — जनकपुर में, वैदिक रीति से। लक्ष्मण का उर्मिला से, भरत का मांडवी से, शत्रुघ्न का श्रुतकीर्ति से। चारों भाइयों का एक साथ विवाह। अयोध्या लौटते समय जो प्रसन्नता थी — वह शब्दों से परे थी। पर इस कथा का सबसे गहरा संदेश यह है — राम और सीता का मिलन केवल दो व्यक्तियों का नहीं था। यह धर्म और शक्ति का, पुरुष और प्रकृति का, चेतना और शक्ति का मिलन था।"
राम का वनवास,"अयोध्या में राज्याभिषेक की तैयारी थी — राम का राजतिलक होने वाला था। पूरी नगरी सजी थी। दशरथ के चेहरे पर वह तृप्ति थी जो जीवन भर की साधना के बाद मिलती है। पर उसी रात रानी कैकेयी के कक्ष में एक और दृश्य था — दासी मंथरा कैकेयी के कान में विष घोल रही थी।

मंथरा ने कैकेयी को याद दिलाया — दशरथ ने एक बार उन्हें दो वरदान दिए थे। ""अभी माँगो। राम को चौदह वर्ष का वनवास और भरत को राजगद्दी।"" कैकेयी का हृदय डूबा — फिर उभरा। उन्होंने क्रोध का आवरण ओढ़ा और दशरथ के सामने वरदान माँगा। दशरथ काँपे। उनकी आँखों से आँसू बहने लगे। पर वचन दिया था।

राम को बुलाया गया। दशरथ कुछ बोल न सके — केवल रोए। कैकेयी ने सब बताया। राम ने एक पल सुना। फिर मुस्कुराए। ""पिताजी का वचन पूरा होगा। मैं अभी वन जाता हूँ।"" न क्रोध, न शिकायत, न प्रश्न। केवल स्वीकृति — इतनी गहरी कि दरबार में उपस्थित हर व्यक्ति रो पड़ा।

सीता जी ने वन जाने का निश्चय किया। राम ने समझाया — ""वन कठोर है।"" सीता ने उत्तर दिया: ""जहाँ आप नहीं, वहाँ अयोध्या का महल भी मेरे लिए वन है।"" लक्ष्मण भी साथ चले — ""भाई बिना, राजमहल का क्या अर्थ?"" भरत उस समय मामा के घर थे। जब लौटे और सत्य जाना — तो कैकेयी को माँ मानने से इनकार कर दिया।

दशरथ तीन दिन बाद चल बसे — ""राम... राम..."" उनके अंतिम शब्द थे। भरत लौटे, सत्य जाना, और वन की ओर दौड़े। उन्होंने राम से राजगद्दी वापस माँगी। राम ने मना किया — ""पिताजी का वचन पूरा होना चाहिए।"" तब भरत ने राम की खड़ाऊँ लेकर सिंहासन पर रखीं — और स्वयं तपस्वी की भाँति रहने लगे। ""जब तक भैया नहीं आते, मैं राजा नहीं।""

यह कथा असाधारण है — क्योंकि इसमें कोई खलनायक नहीं जीतता। मंथरा ने बीज बोया। कैकेयी ने अपनी सबसे बड़ी गलती की। पर राम ने उन्हें कभी दोष नहीं दिया। ""माँ ने जो किया, वह विधाता की इच्छा थी।"" यह क्षमा नहीं — यह उससे भी गहरा कुछ था। राम जानते थे — जो हो रहा है, वह उनके अवतार का उद्देश्य है। रावण का अंत इसी वन से शुरू होगा।"
परीक्षण कथा,नमस्ते
लक्ष्मी का जन्म,"सब कुछ एक श्राप से शुरू हुआ। ऋषि दुर्वासा स्वर्ग में एक दिव्य माला लेकर चल रहे थे। इंद्र ने लापरवाही से माला ली, ऐरावत के सिर पर रख दी। हाथी ने झटककर कुचल दिया। दुर्वासा ने शांति से कहा: ""लक्ष्मी तुम्हारा लोक छोड़ देंगी।"" और देवी चली गईं — न गड़गड़ाहट से, न क्रोध से। बस चली गईं। और फर्क — विनाशकारी था।

लक्ष्मी के जाने से भोजन का स्वाद गया, संगीत की मिठास गई। ब्रह्मा-विष्णु ने उपाय सोचा: क्षीरसागर मंथन — मंदराचल पर्वत को मथनी, वासुकि को रस्सी बनाकर। देव और असुर दोनों खींचेंगे। दोनों को लाभ होगा। आवश्यकता का एक गठबंधन — सबसे बड़े लक्ष्य की सेवा में।

मंथन से पहले जो निकला वह खज़ाना नहीं था — विष था। हलाहल, जो सृष्टि को नष्ट कर देता। शिव ने पिया, पार्वती ने गला पकड़ा — नीलकंठ। फिर उपहार आए: धन्वंतरि, कामधेनु, पारिजात, ऐरावत। पर देखने वाले कुछ महसूस कर रहे थे — इन सब उपहारों से परे कुछ आने वाला था।

एक कमल उठा और उसके हृदय में — लक्ष्मी। हज़ार सूर्यों जैसी दीप्तिमान, शांत जल जैसी गंभीर। असुर लपके — प्रतिस्पर्धा करते। उन्होंने शांत आँखों से देखा और फेर लिया। एक-एक देव को देखा। फिर विष्णु पर दृष्टि पड़ी — शांत, माँगते नहीं, केवल उपस्थित। वे उनकी ओर बढ़ीं और माला पहनाई।

विष्णु और लक्ष्मी — हरि और श्री — सनातन जोड़ी हैं। वे संरक्षक, वे समृद्धि जो संरक्षण को सार्थक बनाती है। जहाँ विष्णु हैं, लक्ष्मी हैं। जहाँ धर्म फलता है, समृद्धि स्वाभाविक आती है। उनका पुनर्मिलन लेन-देन नहीं था — पहचान था। एक ही दिव्य सत्य के दो पहलू, सागर के मंथन के बाद एक-दूसरे को याद करते हुए।

इसीलिए दीवाली की लक्ष्मी पूजा धन के लिए नहीं — alignment का अनुष्ठान है। हम दीप जलाते हैं — क्योंकि लक्ष्मी प्रकाश की ओर जाती हैं। घर साफ करते हैं — क्योंकि वे ठहराव में नहीं रहतीं। लक्ष्मी के उदय की कथा उस काम की कथा है जो भीतर गहराई में होता है — जब हम अपने भीतर झाँकते हैं, जो विषैला है उसका सामना करते हैं — समृद्धि स्वयं उठती है।"
शक्तिपीठ की कथा,"यह कथा प्रेम, विरह, और परिवर्तन की सबसे गहरी कथाओं में से एक है। सती, जो दक्ष प्रजापति की पुत्री थीं, उन्होंने शिव से विवाह किया था — उस शिव से जिन्हें उनके पिता ने कभी स्वीकार नहीं किया। एक बार दक्ष ने एक महायज्ञ का आयोजन किया जिसमें सभी देवताओं को आमंत्रित किया — सिवाय शिव के। सती ने आग्रह किया कि वे बिना बुलाए भी जाएंगी। शिव ने मना किया। लेकिन सती का मन नहीं माना।

सती के वहाँ पहुँचते ही दक्ष ने शिव का घोर अपमान किया। उन्होंने शिव को नीच, श्मशान का वासी, और अयोग्य कहा। सती ने सुना — और उनके भीतर कुछ टूट गया। वह अपमान शिव का नहीं था, बल्कि उस प्रेम का था जिसे सती ने अपनी पूरी आत्मा से चुना था। उन्होंने तय किया — इस देह में रहकर इस अपमान को और नहीं सहेंगी। यज्ञ की अग्नि में उन्होंने स्वयं को समर्पित कर दिया।

जब शिव को सती की मृत्यु का समाचार मिला, तो उनका क्रोध और शोक ब्रह्मांड को कंपाने लगा। वे सती के दग्ध शरीर को अपनी बाँहों में उठाकर तांडव करने लगे। उनका विलाप इतना तीव्र था कि सृष्टि अस्थिर हो गई। देवता भयभीत हो गए। भगवान विष्णु ने समझा कि इस शोक को कम करने का एकमात्र उपाय है — सती के शरीर को शिव से अलग करना। उन्होंने अपना सुदर्शन चक्र चलाया।

सुदर्शन चक्र ने सती के शरीर को 51 भागों में विभाजित कर दिया। वे 51 अंग जहाँ-जहाँ गिरे, वहाँ-वहाँ पृथ्वी पवित्र हो गई। वे स्थान शक्तिपीठ बन गए। कामाख्या में देवी का गर्भ गिरा — आज सबसे शक्तिशाली तंत्र केंद्र। वाराणसी में कान गिरे। प्रयागराज में उँगलियाँ गिरीं। हर शक्तिपीठ एक जीवंत द्वार बन गया — जहाँ देवी आज भी विराजती हैं।

शिव का विरह शांत हुआ जब उन्हें बोध हुआ — सती गई नहीं हैं। वे 51 स्थानों पर जीवित हैं। वे पृथ्वी बन गई हैं। यह ज्ञान शिव के शोक को समाधि में बदल गया। सती ने अपने जाने से शिव को एक सच्चाई सिखाई जो जीते-जी नहीं सिखाई जा सकती थी — प्रेम देह में नहीं रहता, यह स्थान में रहता है, स्मृति में रहता है, शक्ति में रहता है।

आज भी वे 51 शक्तिपीठ देवी की जीवंत उपस्थिति के प्रतीक हैं। जो भक्त इन तीर्थों की यात्रा करते हैं, वे केवल एक मंदिर नहीं देखते — वे उस स्थान को स्पर्श करते हैं जहाँ देवी का अंग पड़ा था। यह कथा हमें बताती है कि प्रेम कभी नष्ट नहीं होता — वह रूप बदलता है। सती का प्रेम पृथ्वी बन गया। और जब भी कोई सच्चे मन से पुकारता है — देवी सुनती हैं।"
लक्ष्मी का प्रस्थान,"स्वर्ग में एक दिन ऐसा आया जब लक्ष्मी ने जाने का निश्चय किया। कारण था एक छोटी सी घटना — ऋषि दुर्वासा की माला का अपमान। ऋषि दुर्वासा ने देवराज इंद्र को एक दिव्य पुष्पमाला भेंट की थी — एक वरदान-स्वरूप उपहार। लेकिन इंद्र ने उस माला को उदासीनता से अपने हाथी ऐरावत के सूंड पर डाल दिया। हाथी ने माला को जमीन पर फेंक दिया। ऋषि दुर्वासा को लगा — यह केवल माला का अपमान नहीं, यह देवी लक्ष्मी का अपमान है।

दुर्वासा ऋषि ने क्रोध में श्राप दिया — ""देवराज, तुम्हारे अहंकार ने लक्ष्मी का अपमान किया है। अब लक्ष्मी स्वर्ग छोड़ देंगी।"" और सच में ऐसा ही हुआ। लक्ष्मी धीरे-धीरे स्वर्ग से विदा होने लगीं। उनके जाने के साथ स्वर्ग की शोभा, समृद्धि, और ऊर्जा सब क्षीण होने लगी। फूल मुरझाने लगे। देवताओं में उत्साह नहीं रहा। यज्ञ के फल नहीं मिले। और धीरे-धीरे देवता भी कमजोर पड़ने लगे — क्योंकि जहाँ कृतज्ञता नहीं, वहाँ लक्ष्मी नहीं।

लक्ष्मी समुद्र में जाकर बैठ गईं — उस क्षीर सागर में जहाँ से वे उत्पन्न हुई थीं। वे क्षीर सागर की शांत गहराइयों में विश्राम करने लगीं। स्वर्ग में हाहाकार मच गया। असुरों ने इस अवसर का फायदा उठाया और देवताओं पर आक्रमण कर दिया। इंद्र हार गए। सारा संसार अव्यवस्था में था। देवता ब्रह्मा के पास गए, ब्रह्मा ने विष्णु के पास भेजा। विष्णु ने कहा — ""लक्ष्मी को वापस लाना है। लेकिन यह काम किसी एक के वश का नहीं। समुद्र मंथन करना होगा।""

समुद्र मंथन की तैयारी हुई। मंदराचल पर्वत को मथानी बनाया, वासुकी नाग को रस्सी बनाया। देवता और असुर — दोनों मिलकर मंथन करने लगे। यह मंथन आसान नहीं था। पर्वत डूबने लगा — विष्णु ने कच्छप रूप लेकर सहारा दिया। भयानक विष हलाहल निकला — शिव ने पिया। एक के बाद एक, मंथन से रत्न निकलते रहे। और फिर — एक दिव्य प्रकाश में, कमल पर विराजमान, हाथों में कमल थामे, शंख की ध्वनि के बीच — लक्ष्मी प्रकट हुईं।

लक्ष्मी ने प्रकट होकर सबसे पहले भगवान विष्णु को वरमाला पहनाई। वे उनके वक्ष पर विराजमान हुईं — श्रीवत्स चिह्न के पास। यह मिलन केवल दो व्यक्तियों का नहीं था — यह शक्ति और संरक्षण का, समृद्धि और धर्म का, सौंदर्य और सत्य का मिलन था। देवताओं ने स्तुति की। ऋषियों ने अभिषेक किया। गंगा ने जल दिया। समुद्र ने रेशम वस्त्र दिए। विश्वकर्मा ने आभूषण दिए। सृष्टि ने अपनी सबसे प्रिय देवी का स्वागत किया।

इस कथा का सन्देश केवल समृद्धि की देवी के बारे में नहीं है। यह हमें बताती है कि लक्ष्मी का वास वहाँ होता है जहाँ कृतज्ञता होती है, जहाँ परिश्रम होता है, जहाँ दूसरों के उपहारों का सम्मान होता है। इंद्र ने एक माला फेंकी — और समृद्धि चली गई। जब देवों और असुरों ने मिलकर कठिन परिश्रम किया, तब लक्ष्मी लौटीं। आज भी जब हम अपने जीवन में जो पाया है उसकी कदर नहीं करते — लक्ष्मी धीरे-धीरे वहाँ से विदा होने लगती हैं।"
शुम्भ-निशुम्भ वध,"त्रेतायुग में एक बार स्वर्ग पर संकट आया जिसने सभी देवताओं को कंपा दिया। शुंभ और निशुंभ — दो राक्षस भाई — जिन्होंने ब्रह्मा से वरदान पाया था कि कोई पुरुष उन्हें नहीं मार सकता। इस वरदान के बल पर उन्होंने स्वर्ग पर अधिकार कर लिया। इंद्र को भागना पड़ा। देवता निराश और दिशाहीन हो गए। उनके पास कोई उपाय नहीं था — क्योंकि वे सभी पुरुष थे। तब उन्हें याद आई वह शक्ति जो न पुरुष है, न स्त्री की सीमा में बंधी है — वह महाशक्ति जो स्वयं देवी है।

देवताओं ने हिमालय पर्वत पर जाकर देवी की स्तुति की। उनकी प्रार्थना सुनकर पार्वती के शरीर से एक तेज प्रकट हुआ — और उस तेज से एक दिव्य नारी का रूप उभरा। यह थीं देवी कौशिकी — शुभ्र वर्ण, अत्यंत सुंदर, और असीम शक्ति से युक्त। शुंभ-निशुंभ के दूतों ने उन्हें देखा और मोहित हो गए। उन्होंने दूत भेजा — ""हमारे राजा तुमसे विवाह करना चाहते हैं। तुम इतनी सुंदर हो कि तुम्हें किसी दुर्बल की पत्नी नहीं बनना चाहिए।""

देवी ने मुस्कुराते हुए उत्तर दिया — ""मैंने एक प्रतिज्ञा ली है। जो मुझे युद्ध में जीत लेगा, मैं केवल उसी से विवाह करूँगी।"" यह सुनकर शुंभ-निशुंभ क्रोधित हो गए। उन्होंने अपने सेनापतियों — धूम्रलोचन, चंड, मुंड — को भेजा। एक के बाद एक, देवी ने सभी को परास्त किया। चंड और मुंड का वध करने पर देवी का नाम पड़ा चामुंडा। हर बार जब नया असुर आया, देवी के एक नए रूप ने उसका सामना किया — यह दिखाते हुए कि शक्ति के अनंत रूप हैं।

सबसे बड़ी चुनौती तब आई जब रक्तबीज मैदान में उतरा। उसका वरदान था — उसके रक्त की जो भी बूँद जमीन पर गिरे, उससे उतने ही नए रक्तबीज पैदा हो जाएं। देवी की हर प्रहार से हजारों रक्तबीज उत्पन्न होने लगे। युद्ध का मैदान राक्षसों से भर गया। तब देवी ने काली को बुलाया। काली ने अपना मुख इतना बड़ा फैलाया कि रक्तबीज के रक्त की एक बूँद भी जमीन पर नहीं पड़ी। काली ने सब कुछ पी लिया — रक्त, असुर, और उनका अहंकार भी।

अंततः शुंभ स्वयं मैदान में उतरा। उसने देवी पर आरोप लगाया — ""तुम दूसरों की शक्ति से लड़ती हो! यह कहाँ का पराक्रम है?"" देवी ने शांत भाव से उत्तर दिया — ""मैं अकेली हूँ। यहाँ जो भी है — काली, अंबा, भवानी — वे सब मैं ही हूँ। यह जगत भी मुझमें समाया है।"" और तब उन्होंने अपने सभी रूपों को वापस अपने में समेट लिया — और एक ही देवी, एक ही शक्ति ने शुंभ का वध कर दिया। अकेली। सम्पूर्ण।

देवताओं ने देवी की स्तुति की। स्वर्ग पुनः मुक्त हो गया। लेकिन इस कथा का सबसे गहरा सन्देश युद्ध की विजय में नहीं है — वह है देवी के उस वाक्य में: ""मैं अकेली हूँ।"" यह अहंकार नहीं था। यह पूर्णता थी। जब हम अपने भीतर की सभी शक्तियों को एकत्रित कर लेते हैं — भय, क्रोध, करुणा, बुद्धि — और उन्हें एक दिशा देते हैं, तब हम भी अपराजेय होते हैं। यही दुर्गा का सन्देश है — तुम्हारे भीतर भी वह शक्ति है। उसे पहचानो।"
माँ का आशीर्वाद,"प्राचीन काल में, जब धरती पर अंधकार का साया था और देवता भी असहाय हो गए थे, तब ब्रह्मांड के कोने-कोने से एक करुण पुकार उठी। वह पुकार किसी एक स्वर की नहीं थी — वह लाखों पीड़ित आत्माओं की सामूहिक चीख थी। यह वह क्षण था जब शक्ति को जागना था। देवी, जो सृष्टि की आदि शक्ति हैं, उस पुकार को अनसुना नहीं कर सकीं। क्योंकि माँ कभी अपने बच्चों की पुकार को नहीं भूलती।

देवी की यह कहानी एक साधारण राजा से शुरू होती है — राजा सुरथ, जो एक कुशल और न्यायप्रिय शासक था। उसके राज्य में सुख-समृद्धि थी, प्रजा खुश थी। लेकिन नियति को कुछ और ही मंजूर था। शत्रुओं ने धोखे से उसका राज्य छीन लिया। परिवार ने उसे अकेला छोड़ दिया। वह राजा जिसने कभी हजारों लोगों पर शासन किया था, आज जंगल में भटक रहा था — अकेला, टूटा हुआ, और निराश। संसार की माया ने उसे सब कुछ दिया और फिर एक पल में सब छीन लिया।

उसी जंगल में राजा की भेंट एक व्यापारी से हुई — समाधि, जिसकी कहानी राजा से भी अधिक दर्दनाक थी। उसके अपने बेटों और पत्नी ने मिलकर उसे घर से निकाल दिया था, उसकी सारी संपत्ति हड़प ली थी। दोनों ने मिलकर महर्षि मेधा के आश्रम में शरण ली। एक शाम, नदी के किनारे बैठकर दोनों ने अपने दुख साझा किए। राजा ने पूछा — ""हमें पता है कि उन्होंने हमें धोखा दिया, फिर भी हमारा मन उन्हीं की ओर क्यों खिंचता है?"" महर्षि मेधा ने मुस्कुराते हुए कहा, ""यही माया है। और इस माया से मुक्ति केवल एक शक्ति दे सकती है।""

महर्षि मेधा ने उन्हें देवी महामाया की कथा सुनाई। उन्होंने बताया कि यह वही शक्ति हैं जो सृष्टि को चलाती हैं, जो हर जीव में चेतना के रूप में विद्यमान हैं। ""जब कोई उन्हें सच्चे मन से पुकारता है,"" मेधा ऋषि ने कहा, ""तो वे अवश्य आती हैं — माँ की तरह, रक्षक की तरह, शक्ति की तरह।"" राजा और व्यापारी दोनों के मन में एक जिज्ञासा जागी। उस रात उन्होंने निश्चय किया — वे देवी की आराधना करेंगे, न राज्य के लिए, न संपत्ति के लिए — केवल ज्ञान और मुक्ति के लिए।

तीन वर्षों तक राजा सुरथ और समाधि ने देवी की घोर तपस्या की। उन्होंने मिट्टी से देवी की मूर्ति बनाई और वन के फूलों, नदी के जल, और अपने हृदय की भावनाओं से उनकी पूजा की। भूखे रहे, जागते रहे, रोए, गाए, पुकारते रहे। और एक दिन — जब उनकी आँखों में आँसू थे और होठों पर नाम — देवी प्रकट हुईं। उनका रूप दिव्य था, करुणामय था। उनकी आँखों में वह ममता थी जो संसार की कोई माँ नहीं दे सकती। ""मैं यहाँ हूँ,"" उन्होंने कहा। बस इतने से दोनों का सारा दर्द पिघल गया।

देवी ने उन दोनों को वरदान दिया। राजा ने माँगा — ""मुझे मेरा राज्य वापस दो और अगले जन्म में मैं मनु बनूँ।"" देवी ने दोनों वर पूरे किए। लेकिन व्यापारी समाधि ने कुछ और माँगा — ""माँ, मुझे केवल वह ज्ञान दो जिससे मैं इस माया से सदा के लिए मुक्त हो जाऊँ।"" देवी मुस्कुराईं। यही असली वरदान था। यह कहानी हमें सिखाती है कि देवी हर पुकार सुनती हैं — चाहे वह राज्य के लिए हो या मुक्ति के लिए। वे माँ हैं। माँ कभी खाली हाथ नहीं लौटाती।"
